Id,SalePrice
1461,116281.47617418603
1462,126685.36903892375
1463,183451.11212767192
1464,195867.25940743755
1465,189345.61805008925
1466,169815.5267173666
1467,172354.26851101767
1468,159951.70263144726
1469,189283.6946719075
1470,116220.48860424223
1471,182627.79507588057
1472,98857.89790676889
1473,99747.50694135358
1474,147544.8057765965
1475,113803.32318294162
1476,341941.1616423598
1477,223006.5715649853
1478,284503.7031973784
1479,282814.20325342426
1480,565586.583314589
1481,343582.09214130644
1482,205265.39737012956
1483,175649.27981281315
1484,167631.33262852844
1485,192038.3413084368
1486,201104.2285099671
1487,325269.8218231902
1488,237330.9174259011
1489,183942.423978842
1490,251228.54651681407
1491,193393.8232445961
1492,90483.34330053303
1493,186703.39019197176
1494,271929.86795576615
1495,283306.337864794
1496,251697.85828394236
1497,185116.89980356515
1498,170035.80344174805
1499,154921.21270772078
1500,160761.81032699466
1501,182900.96900918207
1502,154819.4420817189
1503,281594.6952887987
1504,248367.8948557861
1505,238388.87414933613
1506,193299.91406781386
1507,266929.19197506306
1508,188823.9895395453
1509,153399.62513143782
1510,151642.30475220733
1511,152245.32154962653
1512,186590.35565585754
1513,147356.07635818233
1514,150273.8545245072
1515,202472.85776294876
1516,141075.38444285063
1517,157153.63538020078
1518,136280.30075631206
1519,213474.48565115992
1520,127310.97131710411
1521,130565.26349998495
1522,183870.73336344806
1523,108283.01411697273
1524,118576.90680753218
1525,119523.1989635738
1526,116016.90691670141
1527,104280.91047607506
1528,120368.65257889709
1529,151778.79164079035
1530,179627.6690265176
1531,123045.19508334847
1532,91606.14772734429
1533,154432.1477115959
1534,115802.32359056504
1535,151385.54586711177
1536,105488.79180353168
1537,87368.66607454656
1538,138104.78667377634
1539,187940.58647439006
1540,109706.38405910396
1541,140392.79567670327
1542,145234.87454633342
1543,193022.990720254
1544,91622.26335063788
1545,113250.51955158457
1546,137803.50453833907
1547,127536.84223615388
1548,133870.9899823977
1549,128595.18401077189
1550,140125.35259711338
1551,112377.57376427275
1552,157191.05012423644
1553,133202.38214963375
1554,114445.77177152595
1555,187820.25106377952
1556,87820.57942637416
1557,97151.8596011143
1558,92155.82850924504
1559,94754.23449531998
1560,150349.1761736571
1561,117654.70454741304
1562,134429.05657081763
1563,123968.85737555788
1564,157607.38452313756
1565,140366.68991172084
1566,238398.31995172935
1567,77296.8562458214
1568,249521.86249990418
1569,133395.53027358008
1570,139151.7118274605
1571,119813.31501251324
1572,150226.57105839928
1573,223744.54146353205
1574,137057.7738767263
1575,237199.20195408617
1576,265271.2164306722
1577,176017.60060577802
1578,121083.39828567908
1579,140527.94810967328
1580,186173.73428557947
1581,158687.99671183818
1582,123853.47299941062
1583,318486.5353782141
1584,232845.9308805467
1585,140848.96200884858
1586,67620.89979450994
1587,111539.61005394612
1588,156446.22642955332
1589,103614.267338329
1590,131900.41708088736
1591,96697.1781687826
1592,110595.32354191919
1593,114395.53531513546
1594,119560.64817713304
1595,118745.87823429794
1596,222427.32032058787
1597,201734.5812111757
1598,205873.51035442908
1599,169424.05797202385
1600,167982.01984004327
1601,77233.98951920241
1602,108600.88868582975
1603,83942.0337955346
1604,265357.1418440755
1605,239744.4843643945
1606,166406.60896012996
1607,178764.11166469354
1608,205775.97132126408
1609,168082.16714304814
1610,145518.47425468167
1611,131500.31797775687
1612,181359.420816762
1613,169273.04480669688
1614,130724.10365725118
1615,94044.33646476883
1616,82466.81686963857
1617,98224.86569300827
1618,122273.43211050556
1619,134188.08454624604
1620,217373.72238672053
1621,135386.18281934533
1622,138252.79300565697
1623,261496.0902881162
1624,229932.09270704596
1625,114826.2059669729
1626,167844.90092656048
1627,191464.94751972644
1628,285368.5318901159
1629,176102.95698235856
1630,389984.9503658743
1631,205960.3937304153
1632,232131.84844106805
1633,176769.48003657174
1634,189631.91675171882
1635,173251.28340256124
1636,153790.10994939256
1637,208759.62819554796
1638,198975.27133292705
1639,178342.18466328972
1640,259682.18331705622
1641,179101.60415271833
1642,257501.89798514216
1643,225974.47420848807
1644,226331.39066906326
1645,223982.43935315873
1646,156772.9119345164
1647,146063.51969296802
1648,131250.78808753545
1649,143756.73309086304
1650,118116.4155179048
1651,117862.08882709774
1652,100311.02197871011
1653,100313.48582798037
1654,151443.99910619282
1655,138327.6863844248
1656,143051.66371444313
1657,152636.6216556959
1658,157759.2805322609
1659,117540.23124938367
1660,155181.10242710542
1661,474630.7462335884
1662,378842.94964236335
1663,374670.4825256465
1664,557479.098069951
1665,290710.54923894856
1666,327694.9560665203
1667,398552.93508293905
1668,325634.63490055513
1669,285175.88019644265
1670,334439.88912174787
1671,277155.61522500083
1672,442282.28482717107
1673,300694.3975499637
1674,234536.96480878597
1675,207669.17297810115
1676,205340.93861158134
1677,214824.30556867432
1678,527645.5160569517
1679,415274.4967002332
1680,307915.3165642934
1681,232903.9595556394
1682,311626.19427280826
1683,192280.7609494986
1684,181545.83722052193
1685,182940.41032277807
1686,177599.43748435163
1687,179021.58365963137
1688,196166.9653934135
1689,198914.8696987283
1690,198233.02911882583
1691,185086.1450051797
1692,254419.063525878
1693,176239.26039063986
1694,178175.9782330955
1695,162628.73327845696
1696,288537.3238277731
1697,163251.76487161903
1698,346612.02982096904
1699,305700.25548916234
1700,257046.65000936293
1701,264681.0906305378
1702,246732.7760872123
